APPLICATION_ID,ABSTRACT_TEXT
9050918,"?     DESCRIPTION (provided by applicant): Adolescence is the period in which individuals are most likely to initiate the consumption of drugs of abuse. The onset of drug use during adolescence, however, also confers the highest risk of progressing from recreational use to addiction. This suggests that drug exposure during the critical window of adolescence may interfere with ongoing neuronal development and cause behavioral changes which facilitate subsequent substance abuse and addiction. However, there is still a significant lack of knowledge about the mechanisms accounting for these age-dependent effects of drug exposure. To address this gap in our knowledge, it is important to understand (1) the mechanism underlying the interaction between drugs of abuse and the adolescent brain, (2) how these interactions disrupt the development of neuronal circuitry, and (3) the resulting long-lasting changes in addiction-relevant behaviors. The guidance cue receptor DCC has recently emerged as a key molecular player in the adolescent organization of the mesocorticolimbic dopamine system, and expression of DCC is regulated by adolescent exposure to drugs of abuse. Exposure to the stimulant drug of abuse, amphetamine, during early adolescence disrupts the development of dopamine input to the medial prefrontal cortex of mice via alterations to DCC signaling. The long-term goal of the studies proposed here is to determine if amphetamine in adolescence reroutes dopamine axons to the medial prefrontal cortex from limbic regions by disrupting DCC-mediated guidance events, and identify the enduring consequences on prefrontal cortex-dependent cognitive behavior. These neurobiological and behavioral alterations may underlie heightened vulnerability to progress to addiction in individuals that initiate drug use in adolescence. The experiments will employ neuroanatomical, gene transfection, and behavioral techniques in a mouse model to assess three specific aims. Aim 1 will determine whether amphetamine in adolescence increases prefrontal cortex dopamine innervation by promoting the rerouting of mesolimbic dopamine axons during adolescence. Aim 2 will assess whether DCC signaling is the molecular mechanism by which amphetamine in adolescence reroutes mesolimbic dopamine axons to the prefrontal cortex. Aim 3 will determine the role of DCC in mediating the long-term behavioral consequences of adolescent mesocorticolimbic dopamine reorganization.  The results of the proposed research will move the field toward a clearer understanding of the mechanisms accounting for the age-dependent effects of drug exposure on addiction vulnerability. These results could be used to facilitate development of individualized prevention and treatment strategies aimed at adolescent drug users, who are at heightened risk to progress to addiction."
9192659,"PROJECT SUMMARY/ABSTRACT Loading peptides onto major histocompatibility complex (MHC) class II molecules involves the actions HLA-DM (DM) and HLA-DO (DO). DM regulates the exchange of MHC-II-associated invariant chain peptide with other peptides, while DO acts to inhibit interaction of DM with MHC-II. New high-resolution microscopy results from our lab revealed that DM localization is altered at the presence of DO, and additional data demonstrated a change in specific MHC-II peptide presentation at different DO/DM ratios. The major hypotheses addressed herein are that: (1) DO dominantly directs the DM subcellular destination to the low pH compartment where DO is being irreversibly degraded. (2) Changes in the DO/DM ratio can affect both quantity and quality of the peptides that are being displayed via MHC-II. The specific aims to be studied are: Aim 1: Delineate the subcellular localization of the DO/DM complexes as controlled by DO The subcellular localization of DM and DO will be evaluated in a genetically engineered cell line system, with cell lines that express DM with different levels of DO or altered DO localization motifs. (1) high-resolution microscopy and (2) subcellular fractionation followed by western blot analysis will be applied to determine the subsequent DO/DM localization. Aim 2: Characterize the peptide repertoire that is being displayed on surface MHC-II at different DO/DM levels The peptide repertoire of cell lines genetically engineered to express different levels of DM and/or DO will be evaluated by mass spectrometry. The output of the peptides extracted under different DO/DM ratios will be analyzed to assess their structural/biophysical properties and their protein (intracellular compartment) source. Additionally, the affinity of these peptides to the MHC-II allele expressed in this cell line will be measured as an IC50 value in competitive peptide binding assays.   The overall objective of this study is to gain a more precise understanding of how the changes in the DO/DM ratio regulate the antigen presentation process in MHC class II+ cells. Understanding of this mechanism may suggest strategies to modulate acquired tolerance by regulatory T cells and antigen presentation to T effector cells.  "
9192739,"PROJECT SUMMARY  DNA double strand breaks (DSBs) are potentially catastrophic cellular insults that must be recognized and repaired to maintain genome integrity. DSB repair (DSBR) depends on two complicated and highly coordinated pathways: non-homologous end joining (NHEJ), which is error prone, and homology recombination (HR), which is error free. DNA DSB end resection initiates HR and is a critical determinant of DNA DSB repair pathway choice; however, the precise mechanisms by which DNA DSB repair is regulated are still not well understood. Due to the role of DNA DSB repair in mediating resistance to many types of cancer treatments, including cancer ionizing radiation (IR) and chemotherapy, elucidating how cells direct the repair of DNA DSBs also has significant clinical implications for developing better diagnostic and/or therapeutic tools. Here, a novel role for SAM domain and HD domain 1 (SAMHD1) in DNA DSBR is shown. Mutations in SAMHD1 are associated with AIDS, (AGS), and (CLL). SAMHD1 possesses both dNTP triphosphohydrolase (dNTPase) and exonuclease activities. Its dNTPase activity is well established and has a role in restricting HIV-1 replication by depleting nucleotides required for reverse transcription. However, how SAMHD1 functions as a nuclease is not well understood. Preliminary data show that, in response to DNA damage, SAMHD1 forms foci at DNA damage sites and that SAMHD1 interacts with known DSBR proteins. Depletion of SAMHD1 in cells impairs DNA end resection and HR. Interestingly, depletion of SAMHD1 sensitizes cells to IR and PARP inhibitor, further suggesting its role in DSBR, but mediates resistance to HU treatment, suggesting that SAMHD1 may function as a critical mediator of resistance to distinct types of DNA damaging agents. The hypothesis being tested is that SAMHD1 maintains genome integrity in response to DNA DSBs at least in part by promoting homologous recombination through DNA end resection. Furthermore, SAMHD1 through its unique combination of exonuclease and dNTPase activities may play a critical role in discriminating resistance to IR and chemotherapy, which may be exploited for cancer therapy. To test this hypothesis, following specific aims are proposed: 1) Determine the mechanism by which SAMHD1 functions in DNA DSB repair; 2) Delineate the mechanism by which SAMHD1 is regulated in DNA DSB repair; 3) Determine the extent to which SAMHD1 functions as a biomarker for discriminating DNA damage sensitivity. These aims will be completed by a combination of cell biological, genetic, and biochemical approaches. Completion of these aims will provide novel insights into how SAMHD1 maintains genome integrity by promoting HR and prevents disease, including AGS, CLL, and HIV1 infection. Moreover, given the unique ability of SAMHD1 to regulate cellular dNTP pools and metabolize DNA, SAMHD1 may also function as an important biomarker for discriminating resistance of cancer cells to different types of cancer therapies that induce DNA damage, including chemotherapy and IR. Aicardi-Goutières syndrome chronic lymphocytic leukemia"
9258104,"7. PROJECT SUMMARY/ABSTRACT  Perception, cognition, and other high level brain functions are thought to arise in the neocortex, a laminar sheet of neurons forming the surface of the brain. However, the billions of neurons and trillions of synaptic connections in the cortex form an overwhelmingly complex system, and therefore more insight into the organization of the cortex at the local circuit level is needed. Previous research has suggested that ontogenetic columns (columns of clonally-related neurons) play a critical role in excitatory neuron integration in local microcircuitry, and may represent a fundamental module of cortical computation. However, the functional relationships within an ontogenetic column and the principles of ontogenetic column integration into the local circuit of inhibitory interneurons have not been examined.  This project will use multi-photon in vivo calcium imaging to characterize the visual feature selectivity of clonally-related neurons across all layers of primary visual cortex, and examine the distribution of feature selectivity within a layer, and how that distribution changes between cortical layers. Additionally, using octuple simultaneous whole cell patching, this project will test different classes of cortical inhibitory interneurons for patterns of connectivity to ontogenetic columns, in order to gain insight into how clonally related neurons integrate with unrelated neurons in the local circuit. Together, these experiments will delineate the influence of ontogenetic history on the functional organization and microcircuitry of adult neocortex. The results of this work have the potential to reveal fundamental new insights into how the brain processes incoming sensory information, and how that information is transformed as it passes from one cortical layer to another. These results will thus enable a more principled understanding of normal and abnormal circuit function, with broad implications for a wide range of currently intractable neuropsychiatric illnesses such as autism and schizophrenia."
9325379,The NINDS FY 2015 funds provide support for a multiyear project to support the National Health Interview Survey (NHIS) for two high impact pain questions in the 2016 NHIS.
9325817,"Adolescence is the period in which individuals are most likely to initiate the consumption of drugs of abuse. The onset of drug use during adolescence, however, also confers the highest risk of progressing from recreational use to addiction. This suggests that drug exposure during the critical window of adolescence may interfere with ongoing neuronal development and cause behavioral changes which facilitate subsequent substance abuse and addiction. However, there is still a significant lack of knowledge about the mechanisms accounting for these age-dependent effects of drug exposure. To address this gap in our knowledge, it is important to understand (1) the mechanism underlying the interaction between drugs of abuse and the adolescent brain, (2) how these interactions disrupt the development of neuronal circuitry, and (3) the resulting long-lasting changes in addiction-relevant behaviors. The guidance cue receptor DCC has recently emerged as a key molecular player in the adolescent organization of the mesocorticolimbic dopamine system, and expression of DCC is regulated by adolescent exposure to drugs of abuse. Exposure to the stimulant drug of abuse, amphetamine, during early adolescence disrupts the development of dopamine input to the medial prefrontal cortex of mice via alterations to DCC signaling. The long-term goal of the studies proposed here is to determine if amphetamine in adolescence reroutes dopamine axons to the medial prefrontal cortex from limbic regions by disrupting DCC-mediated guidance events, and identify the enduring consequences on prefrontal cortex-dependent cognitive behavior. These neurobiological and behavioral alterations may underlie heightened vulnerability to progress to addiction in individuals that initiate drug use in adolescence. The experiments will employ neuroanatomical, gene transfection, and behavioral techniques in a mouse model to assess three specific aims. Aim 1 will determine whether amphetamine in adolescence increases prefrontal cortex dopamine innervation by promoting the rerouting of mesolimbic dopamine axons during adolescence. Aim 2 will assess whether DCC signaling is the molecular mechanism by which amphetamine in adolescence reroutes mesolimbic dopamine axons to the prefrontal cortex. Aim 3 will determine the role of DCC in mediating the long-term behavioral consequences of adolescent mesocorticolimbic dopamine reorganization. The results of the proposed research will move the field toward a clearer understanding of the mechanisms accounting for the age-dependent effects of drug exposure on addiction vulnerability. These results could be used to facilitate development of individualized prevention and treatment strategies aimed at adolescent drug users, who are at heightened risk to progress to addiction."
9193920,"Project Summary  Sleep disturbance is a robust precursor to subsequent self-injurious thoughts and behaviors (SITBs), including suicide completion. Yet, to date, few studies have been conducted to elucidate the mechanisms underlying this association. However, improved understanding of this phenomenon could allow for better ability to predict and intervene on SITBs risk, which fluctuates on a daily basis due to the presence of acute stressors (e.g., one or several nights of poor sleep). Growing evidence indicates a strong relationship between nightly sleep quality (SQ) and next day self-regulatory capacity. Specifically, poor SQ is associated with next day depleted self-regulatory capacity, such that individuals are more emotionally reactive to negative stimuli and are less able to modulate their emotional responses. Negative affect in particular is associated with frequency and intensity of SITBs, especially in individuals who are at higher baseline risk for SITBs. Thus, we propose that self-regulatory capacity may be one mechanism underlying the link between nightly SQ and daily SITBs, and that this relationship is particularly pronounced among high-risk individuals. The goals of this research are to test this hypothesis in a pair of studies using a variety of methods. In the first study, we will use daily experience methods to establish within-subject associations between nightly SQ and daily SITB among high- risk adults (i.e., chronically suicidal adults in an intensive outpatient program), and test negative affect as a mediator for these associations (Aim 1). In the second study, we will directly examine self-regulatory capacity in a controlled context using laboratory methods. Specifically, we will measure the extent that prior SQ (sleep actigraphy, averaged over 3 days) contributes to negative affect in response to a laboratory stressor in both low- and high-risk adults. Further, we will examine self-regulatory capacity (i.e., resting respiratory sinus arrhythmia) as a mediator for this association, and test whether these associations are strongest among those with higher baseline risk for SITBs (Aim 2). Ultimately, findings obtained from this project could lay the groundwork for future research to establish precise clinical indicators and biomarkers for SITBs risk associated with sleep disturbance. Importantly, the goals of the proposed research will be accomplished as part of a tailored research training plan focused on developing expertise in SITBs and psychopathology, sleep, important and cutting edge research methods (e.g., psychophysiology, sleep actigraphy, etc.), and advanced statistical approaches. The proposed plan would also include advanced coursework, close supervision and guidance from experts in the field, scientific writing and presentation experience, and opportunities for advanced clinical training with high-risk individuals and sleep disordered populations."
9261071,"Project Summary/Abstract  Each year, approximately 800,000 cases of pelvic inflammatory disease (PID) are diagnosed in the United States. Although PID is an acute disease, poorly managed PID has significant chronic implications; women with PID may develop chronic pelvic pain, ectopic pregnancy, and tubal infertility. At least 20% of PID cases occur in adolescents, who are at increased risk for subsequent STIs and PID. Many adolescents and young adult women (?young women?) fail to fully engage in self-care behaviors and adhere to the current Centers for Disease Control and Prevention (CDC) treatment recommendations. The proposed study will employ a convergent mixed methods design within the infrastructure of the Technology Enhanced Community Health Nursing (TECH-N; 5R01NR013507) parent study, an ongoing randomized controlled trial to improve health outcomes among young women with PID. The proposed study will engage 100 non-pregnant 13- to 25- year-old females diagnosed with mild to moderate PID to examine social support, coping strategies, and self- care behaviors required for successful PID treatment: medication adherence, adherence to the 72-hour clinical follow-up visit, partner notification, sexual abstinence during the treatment period, and consistent condom use at the resumption of sexual intercourse. Guided by the Transactional Model of Stress and Coping, the study will integrate quantitative data from structured baseline and follow-up interviews with in-depth, semi-structured qualitative interviews of participants. To support the study, the Brief COPE instrument has been added to the TECH-N protocol to measure coping strategies. The combination of quantitative and qualitative research will examine barriers to and facilitators of PID self-care, while providing detailed, contextual information to achieve the following specific aims: 1) Determine the coping strategies and types of social support utilized by young women diagnosed with PID; 2) Examine the relationships among coping strategies, social support, and engagement in PID self-care behaviors among young women; and 3) Explore the experiences of young women diagnosed with and treated for PID. The study is aligned with the Wellness theme of the National Institute of Nursing Research (NINR), in that it seeks to identify factors that promote health and prevent illness among young women with PID. Understanding the factors associated with engagement in PID self-care behaviors is critical for the development of personally relevant, effective outpatient interventions for PID that empower young women to engage in behaviors that prevent adverse reproductive health outcomes. The training experience associated with the proposed research will capitalize on the applicant?s potential and provide essential training towards becoming an independent nurse scientist, with an emphasis on young women?s sexual and reproductive health."
9325375,Agreement with NCHS to support the National Health Interview Survey (NHIS) measures that assess progress toward achieving Health People 2020 Heart Disease and Stroke Objectives.
9123069,"?     DESCRIPTION (provided by applicant): Amblyopia is a developmental visual disorder due to abnormal binocular input during an early critical period. It is characterized by low level deficis in acuity, contrast sensitivity, orientation discrimination, as well higher- level deficits in formand motion processing. Abnormalities have been found in V1 and V2, but fail to account for perceptual deficits implying further deficits must downstream. Our central hypothesis is that amblyopia stems from small deficits in early visual areas that are magnified downstream due to abnormal signal integration. To test this hypothesis, we will perform a series of behavior and physiology experiments to test both low and high level amblyopic deficits. We predict that amblyopic animals will be impaired on behavior tasks that require discrimination between global form stimuli. Neural responses to low-level grating stimuli will show deficits more severe than what has been reported in V1 and V2, more similar to perceptual deficits. Responses to high-level stimuli will exhibit shape selectivity, but to a more broad degree for amblyopic animals compared to visually normal controls. These experiments are critical to the overall understanding of the neural basis of amblyopia."
