"APPLICATION_ID","ABSTRACT_TEXT"
"9372331","Title: Southeast Regional Center of Excellence in Vector-Borne Disease: The Gateway Program SUMMARY This Center of Excellence initiative is led by renowned, highly collaborative investigators from four major partnering universities in Florida with strong vector biology programs (University of Florida, University of Miami, University of South Florida and Florida International University). This integrated academic network carries the full support of the Florida Department of Agriculture and Consumer Services, the Florida Department of Health, and the Florida Mosquito Control Association, representing a vast system of 59 Mosquito Control Districts. Collaborating institutes include Florida A&M University, Georgia Southern University, the USDA-ARS Center for Medical, Agricultural & Veterinary Entomology, the Naval Entomology Center of Excellence, and The Scripps Research Institute-Florida. Our proposal leverages the expertise across a broad remit of vector biology and epidemiological disciplines to achieve the following overarching objectives: (1) Conduct an innovative, applied research program to develop novel control interventions and optimize surveillance paradigms that would allow mosquito control associations throughout Florida and the US to better anticipate and respond to vector-borne disease (VBD) outbreaks; (2) Establish an integrated research and training network between academic institutions throughout Florida and the Southeast and the local, state, and federal public health agencies, to facilitate existing and future efforts in VBD surveillance and control; (3) Expand an effective University of Florida-led training program in basic public health entomology and advanced vector biology to augment the cohort of personnel who are trained with the requisite knowledge and skills to quickly detect and respond to VBDs; and (4) Provide an evidence-based set of recommendations and a tailored template of a ?surveillance-response program? to ensure that local mosquito control associations can better predict and address VBD threats in the US. The proposal is extremely timely as Florida is currently ?ground zero? for transmission of Zika and Dengue and offers an opportunity to examine the biocomplexity of such diseases in real-time. As such, the partnering research powerhouses in the State stand ready to tackle the problem through an integrated, data-driven, applied research and training program; designed to produce maximal output in novel control interventions and training paradigms within a 5-year period. Importantly, there is strong vision for this Center of Excellence in VBD. Through a multi-tier training program, we not only tackle the shortage of individuals trained in public health entomology today, but effectively lay down the framework for developing the leaders in this field over years to come. The ultimate goal is to establish a bona fide, comprehensive, applied and basic research program that fully addresses the epidemiological triad that will underpin our understanding of vector borne disease transmission. This is embodied in the proposed Gateway Program; the ?Gatekeeper template? for effective control and prevention of VBD establishment and spread throughout the United States."
"9245975","PROJECT SUMMARY More than 2 million infants die every year from infections, particularly the very young in resource-poor settings. Moreover, due to distinct immunity, newborns are less apt to mount protective immune responses to most vaccines. Improvement of newborn immunization thus requires a better biological understanding of vaccine- induced immune responses that correspond to protection. HIPC Project 1 proposes an innovative systems biological investigation to gain a more holistic view of vaccine-induced immunity. We will use novel advanced statistical and computational approaches to analyze very large and unbiased datasets of molecular and cellular information measured from small samples of blood obtained from newborns undergoing immunization with hepatitis B vaccine (HBV), given with or without Bacille Calmette-Guérin (BCG). The molecular datasets will consist of precise measurements of tens of thousands of gene expression read-outs (gene transcripts [RNA] and proteins) that will be generated using state-of-the-art methods and instruments, such as next generation sequencing (RNA-Seq) and mass spectrometry (Service Cores 1 & 2, and Data Management Core). Our preliminary data, derived from analyses of West African cohorts in Guinea Bissau and MRC-Gambia, demonstrate feasibility of measuring transcriptomic and proteomic endpoints in small volumes of newborn peripheral blood and suggest Expanded Program on Immunization (EPI) vaccine-induced molecular signatures in early life. Molecular response signatures and biomarker classifiers that predict subsequent immunogenicity, especially correlates of protection (CoP) against infection, will be identified. Innovative bioinformatics-based and data-driven biomarker integration approaches will reveal patterns of gene expression, bionetworks, molecular pathways and biomarker classifiers associated with successful immunization, and/or sub-optimal immunogenicity. We will achieve our goal by pursuing the following Specific Aims: in Specific Aim 1, we will identify blood transcriptomic signatures in human newborns that correlate with effective immunization, using pre- and post-vaccine whole blood RNA-Seq datasets both in vitro (in vitro modeling HIPC Project 3) and in vivo; in Specific Aim 2, we will identify human newborn blood plasma and cellular proteomic signatures in vitro and in vivo that correlate with effective immunization, using proteomic datasets that are study participant- and time-matched to the RNA-Seq datasets (Specific Aim 1); and in Specific Aim 3, we will further develop and use statistical and computational approaches to allow integration across the in vitro and in vivo transcriptomic and proteomic datasets, including with the high-end flow cytometry analyses that will define cellular subtypes in blood (HIPC Project 2). Innovative bioinformatics and biostatistics will further refine and discover new molecular/cellular signatures associated with HBV CoP, mechanisms of action of HBV and potential adjuvanticity of BCG vaccine, thereby informing future development of neonatal vaccines."
"9124294","?     DESCRIPTION (provided by applicant): Along with the proposed research project, the training plan will address gaps in immunology training and aid in development of professional skills needed to become an independent research scientist. Didactic courses in immunology will address gaps in basic knowledge, while quarterly meetings with a mentoring team comprised of faculty members with a focus in vaccine research and immunology will help guide my work. Attending vaccine and immunology focused conferences and discussion of current topics in immunology with peers will further strengthen immunology skills needed to be successful in vaccine research. Additionally, feedback from quarterly meetings with a mentoring team, participation in several professional development workshops and programs, and presenting research at multiple conferences will aid in development of professional skills necessary to conduct independent research.  Moraxella catarrhalis is a leading cause of otitis media and exacerbations of COPD, two diseases that cause tremendous human suffering and economic burden worldwide. PCR-based detection has revealed severe underestimation of M. catarrhalis in otitis media. Furthermore, the lack of identified correlates of protection against M. catarrhali and lack of groups working on this organism has contributed to the delay in the development of an M. catarrhalis vaccine. The proposed project will address this gap in the field by examining the role of humoral and cellular immunity against M. catarrhalis following vaccination with OppA, a promising vaccine antigen. Therefore, the goal of Aim 1 is to identify protective B cell responses by assessing the antibody response to OppA in humans and OppA-vaccinated animals; the goal of Aim 2 is to identify protective T cell responses in mice immunized with OppA. The completion of the proposed studies will advance the field and aid in development of an M. catarrhalis vaccine to prevent otitis media and exacerbations of COPD."
"9245195","Millions of infants are born to women who experience infection with Plasmodium falciparum malaria during pregnancy. Although repeated malaria infections during childhood promote the acquisition of immunity to malaria, exposure to malaria antigens in utero might have the opposite effect. Observational studies suggest that malaria detected at delivery either from the maternal blood or the placenta is associated with increased risk of malaria in the infant. Conclusions from previous observational studies are limited because they cannot control for potential confounders, such as risk factors common to mother and infant such as environment and genetic factors that may impact the risk of malaria infection and severity of disease. Alteration in infant susceptibility to malaria is attributed to the development of fetal immune tolerance in response to in utero exposure to malaria proteins and characterized by increased frequency of T regulatory cells and a Th2-skewed cytokine milieu. This tolerant phenotype could have important health implications for infants by increasing susceptibility to malaria infection and interfering with infants' ability to respond to a malaria vaccine. We will study the infants born to mothers who participate in a clinical trial comparing sulfadoxine-pyrimethamine, a drug compromised by widespread resistance, to dihydroartemisinin-piperaquine, a highly effective, long acting therapy, for the prevention of malaria during pregnancy. The former treatment arm is likely to allow women to develop malaria infection during pregnancy and the latter is expected to prevent all infections. Thus, the in utero exposure of the infants to malaria differ randomly. By examining cord blood responses and the subsequent risk of malaria during infancy, we will determine if prenatal exposure to malaria is responsible for increased susceptibility to malaria during infancy and if the perturbation of the neonatal immune response is the mechanism underlying this phenomenon. The results will be timely. Alternatives to the currently recommended regimen for preventing malaria during pregnancy of sulfadoxine-pyrimethamine are currently being evaluated and the impact existing or new interventions have on infant health and survival may be important factors to consider. In addition, understanding the maternal conditions that prime the fetal immune system to develop a tolerant response may improve our ability to develop vaccines to protect against malaria and other infectious diseases for children in malaria-endemic countries."
"9372282","Northeast Regional Center of Excellence in Vector Borne Diseases. Project summary/abstract Over the decades, strong training in medical entomology and vector borne disease epidemiology has waned, limiting the number of knowledgeable and well trained professionals available to respond to vector borne disease emergencies in our constantly changing world. In addition, resources and organization of basic applied research that could lead to improvements in vector surveillance and control has been limited, and public health programs have been fractious and often uncoordinated across regions. In this proposal, we outline a research and training agenda that will address these gaps and fill critical needs through the development of a highly integrative Regional Center of Excellence in Vector Borne Diseases. We will accomplish these goals across 3 Specific Aims to (1) conduct applied research to develop and validate effective vector borne disease prevention and control tools and methods necessary to anticipate and respond to disease outbreaks; (2) train a cadre of public health entomologists with the knowledge and skills required to rapidly detect, prevent and respond to vector-borne disease threats in the United States; and (3) build effective collaborations between academic communities and public health organizations at federal, state, and local levels for vector borne disease surveillance, response and prevention. Innovations for our Center include an integrated degree program, postdoctoral cross-training and needs assessment-driven workshops. In addition, our collaborative applied research efforts, decades-long surveillance efforts and biological data records, combined with new research approaches proposed herein, will enable us to address important problems in a new and unique way. We have assembled a highly accomplished and talented collaborative team of experts representing the spectrum of essential skills necessary to carry out our proposed goals for the CDC Northeast Regional Center of Excellence in Vector Borne Diseases."
"9395371","?     DESCRIPTION (provided by applicant):Project Summary This pre-doctoral and postdoctoral training program will utilize a multidisciplinary approach to train diverse candidates in the study  of broadly defined inequities in cardiovascular health and health care, based on factors such as race/ethnicity, sex/gender, socioeconomic status, geographical residence, sexual orientation and physical/mental disability. The program will prepare outstanding candidates for a successful research career that will ultimately help reduce health disparities. The T32 will draw faculty with  diverse expertise and at various career stages from Emory (School of Public Health, School of Medicine and School of Nursing) and Morehouse School of Medicine. Criteria for trainee appointment to the T32 will include academic potential, previous experience, and research interest in health inequities. Our main source of pre-doctoral applicants will be PhD students in the School of Public Health. Postdoctoral fellows will be MDs from various backgrounds pursuing a research career in cardiovascular disease, or PhD graduates in epidemiology, nutrition, behavioral sciences, environmental sciences, health policy, or other relevant areas. Postdoctoral trainees will have the opportunity to obtain a MS in Clinical Research. The program will mentor trainees in multidisciplinary research teams, and prepare them as independent researchers and educators. A maximum of 4 pre-doctoral and 4 postdoctoral trainees will be in the program at any time point, each supported for an average of two years. Training will include multidisciplinary mentoring along with coursework, inter-departmental seminars, hands-on research, and career development. Training will emphasize"
"9406519","DESCRIPTION (provided by applicant): Rotator cuff tears of the shoulder result in annual economic burden of $3-4 billion in surgical expenses alone and have major impact on individual quality of life. Suture repair is the standard of care but high re- tear rates have been reported. Extracellular matrix (ECM) augmentation scaffolds are used to try and improve outcomes for massive tears because they contain bioactive molecules that stimulate cell migration, proliferation and ECM synthesis. However, there are limitations to all the currently available scaffolds and they do not recreate the native tendon-to-bone interface, a graded tendon-fibrocartilage-bone composite tissue which functions to reduce stress concentration at the tendon insertion. Therefore there is a need for a device that more closely recapitulates structure and function of the native tendon-bone interface. Our overall goal is to develop a biomaterial scaffold that promotes integrated tendon-to-bone formation for use in rotator cuff repair. To achieve this goal, we will take an innovative approach to challenge the current paradigm for scaffold development. In addition to ECM cues, other microenvironmental factors such as scaffold microarchitecture can control stem cell differentiation and the formation of complex tissues. For example, electrospinning can be used to form fibers with controllable fiber alignment patterns and diameters, each of which induces specific differentiation responses by stem cells. The current paradigm of scaffold development involves selecting several candidate scaffolds, examining cell behavior in response to culture on these scaffolds, and then modifying scaffold design based on the results obtained before repeating the process. With this approach, there is limited ability to independently manipulate and integrate microenvironmental variables (e.g. scaffold fiber diameter and anisotropy, cell-adhesive ECM ligands) that critically affect cel differentiation and the functional properties of resulting tissue. Therefore, our understanding of how scaffold microenvironments affect functional outcomes remains limited, and identifying scaffold conditions that promote functional composite tissue formation is a highly inefficient process. To overcome these limitations, we intend to use an in vitro micro-photopatterning (microPP) technique to systematically screen scaffold fiber diameter and anisotropy for desired effects on stem cell differentiation towards tendon, cartilage and bone. We will then further functionalize the microPP architectures with tendon-, cartilage- and bone-specific ECM to evaluate additional benefit conferred with the integration of ECM specific ligands. Finally, we wil apply these findings to a multi-layered electrospun scaffold that will be evaluated in vitro for it ability to promote development of a vertically graded tendon- fibrocartilage-bone interface, similar to that seen at the normal tendon-bone interface of the rotator cuff. These findings will improve understanding of microenvironmental cues for tendon-bone tissue engineering and are expected to improve tissue engineered regeneration of the rotator cuff tendon-bone interface."
"9387555","?     DESCRIPTION (provided by applicant):  All blood cell types that make up the adult cardiovascular system are created and maintained by self-renewing, multipotent hematopoietic stem/progenitor cells (HSPCs). Conserved across vertebrates, HSPCs are specified early in development, arising from a unique population of vascular cells called the hemogenic endothelium. Given the difficulties in the ex vivo differentiation and expansion of HSPCs from pluripotent stem cells for regenerative therapies, it is readily apparent that knowledge about HSPC specification is significantly lacking. This gap in understanding stems from the challenges in visualizing HSPC emergence in mammalian embryos that develop internally. The proposed study will address these biological problems with the zebrafish model because the transparency and external fertilization of zebrafish embryos will allow for the molecular dissection of the mechanisms that control this dynamic endothelial to hematopoietic transition (EHT) in vivo.  Small, non-coding microRNAs (miRNAs) are key regulators of stem cell and cardiovascular biology because of their ability to post-transcriptionally silence a diverse array of target genes.  While miRNA regulation is crucial for HSPC self-renewal, maintenance, and differentiation into multiple lineages, the role for miRNAs in hemogenic endothelial specification and HSC emergence is largely unexplored. From a reverse genetic screen to identify the cardiovascular function of endothelial-enriched miRNAs in zebrafish, mir-223 was identified as a novel candidate regulator of HSPC specification because the loss of mir-223 led to an expansion of HSPCs at the onset of HSPC induction. Thus, the goal of this proposal is to directly test the hypothesis that mir-223 functions to negatively regulate the transition from endothelial to hematopoietic cell fates. By employing an innovative strategy to create a mir-223 fluorescent reporter, mir-223 localization patterns will be assessed for the first time in vivo and correlated with the dynamic emergence of HSPCs from the hemogenic endothelium in zebrafish. The proposed research will also examine whether mir-223 functions in HSPC production by visualizing changes in hemogenic endothelial specification and cellular behaviors of emerging HSPCs when mir-223 activity is lost or elevated. Finally, the genes that are directly targeted by mir-223 during EHT will be identified by their upregulation in mir-223 mutants compared to wildtype hemogenic endothelial cells. Altogether, this proposed work will implicate miRNA regulation as a fundamental mechanism of HSPC specification, and will better define the genetic network regulating this process. Importantly, these studies will establish the zebrafish mir-223 mutant as a new leukemogenesis animal model, and will have the potential to instruct regenerative medicine approaches in the ex vivo production of HSPCs for the treatment of leukemia and other blood disorders."
"9307266","DESCRIPTION (provided by applicant): Regulation of chromosome structure is important for normal cell function and is often disrupted in disease. Condensins are evolutionarily conserved, multi-subunit protein complexes that are essential for chromosome condensation and segregation during cell division and play key roles in transcription regulation and DNA repair. Most organisms contain two types of condensins, which perform different functions and localize to different chromosomal regions. C. elegans contains a third type of condensin that specifically binds to and represses X chromosome transcription to accomplish dosage compensation within the dosage compensation complex (DCC). It is not known how condensins are targeted to their binding sites, and how they regulate chromosome structure and transcription. Our goal is to address this significant gap in our knowledge by determining the mechanism of DCC binding and function in C. elegans. C. elegans DCC serves as an excellent experimental model to study condensin binding and function. DCC is recruited specifically to the X chromosome and represses transcription of both X chromosomes in XX hermaphrodites to equalize overall X-linked transcript levels to that of XO males. DCC is first targeted to X- specific recruitment site, and then spreads onto physically connected chromatin. Spreading gives rise to ~90% of the DCC binding sites along the X. Majority of these sites are at active gene promoters. There is no direct relationship between DCC binding and repression, thus DCC may regulate genes at long-range. Important gaps in our understanding of DCC mechanism is the relation between DCC binding and transcription at the local and global level, and the molecular mechanism by which the DCC spreads onto the chromosome. The objective of this application is to 1) test if DCC binding is sufficient and required for repression, 2) determine the role of H4K20me1 in DCC binding 3) determine how the DCC affects chromosome structure of the X. We will accomplish these objectives by analyzing the effects of ectopic DCC binding, DCC binding site deletions, X chromosome duplications and measure DCC localization, gene expression and chromosome structure genome-wide using ChIP-seq, RNA-seq and 4C-seq, respectively. At the completion of our project we will have a better understanding of a persistent question: how do condensins bind to chromosomes and affect its structure and function. This is relevant to health, because chromosome structure and condensin function is essential for proper chromosome segregation, transcription, and DNA repair, processes that are disrupted in cancers and developmental diseases."
"9186981","PROJECT SUMMARY (See instructions): The Administrative Core provides administrative services to the three projects and two other cores of this program project. The program project proposal brings together the unique talents of several groups to perform an integrative and interdisciplinary analysis of the mechanism by which p66Shc-deficiency extends lifespan, across several levels of biological organization, and utilizing analyses of many different types that generate data in multiple formats. The Administrative Core is central to the synergistic interaction of the projects and cores, and in fact has demonstrated the facilitation of research transactions between these groups since the proposal's original submission. As a result of this synergistic interaction, the program has generated multiple new hypotheses for She function. Through this coordination over the last 4.5 years, the research conducted by the program project has demonstrated that Shcs control adiposity, metabolism, insulin signaling, and stress resistance, and the Administrative Core has facilitated the publication of >64 manuscripts from our laboratories. The Specific Aims of this core are: to 1) provide an organizational structure to expedite and coordinate research and promote interactions among investigators; 2) monitor and regularly review the quality of research and prepare progress reports; 3) manage the fiscal components of the program project; 4) facilitate publications, presentations, and the dissemination of research results; 5) organize annual meetings by project members and an external review committee; and 6) coordinate and monitor data and resource sharing. Central to how these Aims will be achieved, Core A will organize and manage the monthly teleconference, the weekly lab meetings, the annual External Advisory Committee meeting, and the web-based server for data interchange between the seven units."
