"APPLICATION_ID","ACTIVITY","ADMINISTERING_IC","APPLICATION_TYPE","ARRA_FUNDED","AWARD_NOTICE_DATE","BUDGET_START","BUDGET_END","CFDA_CODE","CORE_PROJECT_NUM","ED_INST_TYPE","FOA_NUMBER","FULL_PROJECT_NUM","FUNDING_ICs","FUNDING_MECHANISM","FY","IC_NAME","NIH_SPENDING_CATS","ORG_CITY","ORG_COUNTRY","ORG_DEPT","ORG_DISTRICT","ORG_DUNS","ORG_FIPS","ORG_NAME","ORG_STATE","ORG_ZIPCODE","PHR","PI_IDS","PI_NAMEs","PROGRAM_OFFICER_NAME","PROJECT_START","PROJECT_END","PROJECT_TERMS","PROJECT_TITLE","SERIAL_NUMBER","STUDY_SECTION","STUDY_SECTION_NAME","SUBPROJECT_ID","SUFFIX","SUPPORT_YEAR","DIRECT_COST_AMT","INDIRECT_COST_AMT","TOTAL_COST","TOTAL_COST_SUB_PROJECT"
"9173466","R01","HL","5","N","11/23/2016","11/01/2016","10/31/2017","837","R01HL125228","SCHOOLS OF MEDICINE","PA-13-302","5R01HL125228-03","NHLBI:519619\","Non-SBIR/STTR RPGs","2017","NATIONAL HEART, LUNG, AND BLOOD INSTITUTE","","LEXINGTON","UNITED STATES","PHYSIOLOGY","06","939017877","US","UNIVERSITY OF KENTUCKY","KY","405060057","PUBLIC HEALTH RELEVANCE: Abdominal aortic aneurysm (AAA) is defined as a permanent localized dilations of aorta, affect 4 to 8% of men and 0.5 to 1.5% of women over the age of 60, and account for about 2% of all deaths in Western countries. AAA is a vascular disease with rising prevalence and a high mortality rate (65% to 85%) related to AAA rupture. Currently, surgery is the only option for treatment of AAA and no drug has been approved for the treatment of this devastating disease. The goals of this application are to elucidate the mechanisms responsible for AAA and thereby identify new therapeutic targets to develop new drugs to treat AAA.","6625920 (contact); 8664760; ","GONG, MING C (contact); GUO, ZHENHENG ;","TOLUNAY, ESER ","11/15/2014","10/31/2018","Abdomen; abdominal aorta; Abdominal Aortic Aneurysm; Accounting; Acetates; Actins; Affect; Age; age related; Agonist; Aldosterone; Aldosterone Antagonists; Animal Model; Aorta; Aortic Aneurysm; Attenuated; Basic Science; Binding; Biochemical; Cardiovascular Diseases; Cardiovascular system; Cessation of life; Clinic; clinical practice; Country; Deoxycorticosterone; Diagnosis; diagnosis evaluation; Disease; effective therapy; Elastin; Endothelial Cells; eplerenone; Etiology; Free Radical Scavengers; Genetic; Goals; Health; Heart failure; Hospitalization; Human; Hypertension; insight; Intake; Kidney; Knockout Mice; Left Ventricular Hypertrophy; Link; loss of function; male; Matrix Metalloproteinases; Medial; Membrane; men; Messenger RNA; Metalloproteases; Mineralocorticoid Receptor; MMP2 gene; MMP9 gene; Molecular; mortality; mouse model; Mus; Myocardial Infarction; NADPH Oxidase; new therapeutic target; novel; novel therapeutic intervention; novel therapeutics; Operative Surgical Procedures; Oxidative Stress; Patients; Pharmaceutical Preparations; Plasma; Prevalence; prevent; Procedures; promoter; Role; Rupture; Ruptured Abdominal Aortic Aneurysm; salt intake; Scheme; Smooth Muscle Myocytes; Sodium; Sodium Chloride; Spironolactone; Stress; stroke; Tamoxifen; tempol; Testing; Time; Vascular Diseases; vascular inflammation; Withdrawal; Woman; ","Mineralocorticoid receptor and abdominal aortic aneurysm","125228","ZRG1","Special Emphasis Panel ","","","03","345262","174357","519619",""
"9178668","R00","HL","5","N","11/23/2016","11/01/2016","10/31/2017","837","R00HL114734","","PA-11-197","5R00HL114734-05","NHLBI:242856\","Non-SBIR/STTR RPGs","2017","NATIONAL HEART, LUNG, AND BLOOD INSTITUTE","","HOUSTON","UNITED STATES","","09","185641052","US","METHODIST HOSPITAL RESEARCH INSTITUTE","TX","770302703","Project Narrative Myocardial infarction is recognized as a leading cause of mortality and morbidity in the US. Functional microvasculature formation is essential in the recovery of normal cardiac function after reperfusion. Based on my findings that ApoA-I binding protein (AIBP)-mediated cholesterol efflux controls angiogenesis in embryonic zebrafish, I propose to test the hypothesis that AIBP-dependent cholesterol metabolism regulates cardiac angiogenesis under pathologic conditions.","10381440; ","FANG, LONGHOU ;","GALIS, ZORINA S","11/07/2014","10/31/2017","Adult; angiogenesis; Animals; Aorta; Apolipoprotein A-I; Arteries; ATP binding cassette transporter 1; ATP-Binding Cassette Transporters; Attenuated; base; Binding Proteins; Cardiac; cardiac angiogenesis; Cardiac Myocytes; cardiac regeneration; Cholesterol; Cholesterol Homeostasis; cholesterol transporters; constriction; Coronary; Dorsal; Ectopic Expression; Embryo; embryo monitoring; Embryonic Development; Endothelial Cells; Fishes; Goals; Heart; Heart Hypertrophy; High Density Lipoproteins; Human; improved; In Vitro; knock-down; Knockout Mice; Life; Mammals; Measures; Mediating; Mentors; Metabolism; Microcirculation; Microcirculatory Bed; Molecular; Morbidity - disease rate; mortality; Mus; Myocardial Infarction; Myocardium; Natural regeneration; overexpression; Pathologic; Phase; Phenocopy; Phenotype; Play; prevent; Protein Deficiency; protein expression; protein function; Protein Overexpression; Proteins; reconstitution; Recovery; repaired; Reperfusion Therapy; Research; research study; Resected; Resources; restoration; Role; Site; Testing; Therapeutic; Therapeutic Intervention; tissue regeneration; Transgenic Organisms; Transplantation; United States; Veins; Zebrafish; ","AIBP-Mediated Cholesterol Efflux and Angiogenesis","114734","NSS","Special Emphasis Panel ","","","05","152261","90595","242856",""
"9222500","R03","AI","1","N","11/24/2016","11/25/2016","10/31/2017","855","R03AI128290","SCHOOLS OF MEDICINE","PA-13-304","1R03AI128290-01","NIAID:71750\","Non-SBIR/STTR RPGs","2017","NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES","","RENO","UNITED STATES","MICROBIOLOGY/IMMUN/VIROLOGY","02","146515460","US","UNIVERSITY OF NEVADA RENO","NV","895570001","Project Narrative Bacterial infections following childbirth, so-called puerperal infections, cause morbidity in 5?10% of all pregnant women globally. The most common cause of severe maternal puerperal infections and death worldwide is the group A Streptococcus (GAS), and epidemiological data has shown that isolates of a single GAS serotype, M28, are non-randomly associated with causing these infections. Here, we aim to determine whether M28 GAS isolates are associated with puerperal infections as a consequence of the horizontal transfer of a pathogenicity island from the group B Streptococcus (GBS), a potentially important finding given that GBS are a common constituent of the normal vaginal microflora.","8712578; ","SUMBY, PAUL ;","GU, XIN-XING ","11/25/2016","10/31/2018","Adherence; Applications Grants; Bacterial Infections; base; Beryllium; Biological Assay; Blood; Cell Line; Cell surface; Cessation of life; Childbirth; Clinical; Communicable Diseases; Communities; Complement; Data; Development; Disease; Elements; Epidemiology; Epithelial Cells; Female; Frequencies; Future; Genes; Genomic Islands; Goals; Growth; Heterogeneity; Human; Individual; Infection; Infertility; insight; interest; Knowledge; Life; Link; Measures; Modeling; Molecular; Morbidity - disease rate; mouse model; mutant; Neonatal; novel therapeutics; pathogen; Pathogenicity Island; Population; Postpartum Women; Pregnant Women; prophylactic; Public Health; Puerperal Infection; Regulation; reproductive tract; Research; Reverse Transcriptase Polymerase Chain Reaction; Sepsis; Sequence Analysis; Serotyping; Streptococcal Infections; Streptococcus; Streptococcus Group B; Streptococcus pyogenes; Testing; tissue culture; Transcript; transcription factor; transcriptome; transcriptome sequencing; United States; Vagina; Virulence Factors; Western Europe; Writing; ","Puerperal sepsis and group A Streptococcus heterogeneity","128290","PCMB","Prokaryotic Cell and Molecular Biology Study Section ","","","01","50000","21750","71750",""
"9234364","R01","AI","1","N","11/25/2016","11/25/2016","10/31/2017","855","R01AI123148","SCHOOLS OF MEDICINE","PA-13-302","1R01AI123148-01A1","NIAID:495146\","Non-SBIR/STTR RPGs","2017","NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES","","PORTLAND","UNITED STATES","MICROBIOLOGY/IMMUN/VIROLOGY","03","096997515","US","OREGON HEALTH & SCIENCE UNIVERSITY","OR","972393098","PROJECT NARRATIVE Tuberculosis is one of the leading causes of death due to infectious disease. Mycobacterial membrane protein large (MmpL) transporters and their accessory Mycobacterial membrane protein small (MmpS) proteins export lipids to the M. tuberculosis (Mtb) cell wall. This proposal will explore the regulation of essential and virulence- associated MmpL and MmpS protein expression via unique transcriptional regulators that respond to fatty acid and/or lipid intermediates.","8191270 (contact); 3088305; ","PURDY, GEORGIANA E (contact); YU, EDWARD W;","KRAIGSLEY, ALISON ","11/25/2016","10/31/2021","Amino Acids; Antibiotics; Bacteria; Binding; Binding Sites; Biogenesis; Biosynthetic Proteins; Carbon; Carrier Proteins; Cause of Death; Cell Wall; Cells; Chronic; clinically relevant; combat; Communicable Diseases; Computer Simulation; Consensus; Data; Diglycerides; DNA Binding; DNA Structure; DNA-Protein Interaction; DNase-I Footprinting; Docking; Esters; Fatty Acids; Gene Expression; Gene Expression Regulation; Genes; Immune; Immune response; In Vitro; Infection; insight; interest; Ligand Binding; Ligands; Link; lipid biosynthesis; lipid transport; Lipids; Maintenance; Membrane Proteins; Metabolic; Metabolism; Microbial Biofilms; Modeling; Molecular; mycobacterial; Mycobacterium tuberculosis; mycolate; Mycolic Acid; novel; Nucleic Acid Regulatory Sequences; Nutrient; Oxidative Stress; pathogen; Pathogenesis; Pathway interactions; Patients; Physiology; Play; Protein Export Pathway; protein expression; protein transport; Proteins; Regulation; Regulon; Resistance; Role; Site-Directed Mutagenesis; small molecule; Source; Staging; Stimulus; Stress; Structure; System; Therapeutic; transcription factor; Transcriptional Regulation; Trehalose; Tuberculosis; tuberculosis granuloma; Virulence; Waxes; Work; ","Metabolite modulation of Mtb regulators of cell wall biogenesis","123148","BACP","Bacterial Pathogenesis Study Section ","","A1","01","382905","112241","495146",""
"9237527","R01","AI","1","N","11/24/2016","11/25/2016","10/31/2017","855","R01AI124029","","PA-13-302","1R01AI124029-01A1","NIAID:376042\","Non-SBIR/STTR RPGs","2017","NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES","","COLUMBUS","UNITED STATES","","03","147212963","US","RESEARCH INST NATIONWIDE CHILDREN'S HOSP","OH","432052664","PROJECT NARRATIVE Sepsis remains a substantial public health burden in the United States with high mortality rates. In severe infections, the body over reacts resulting in a) weakening of the immune system that makes the patients prone to secondary infections, and b) damage to blood vessels that can lead to circulatory collapse, organ damage, and death. This proposal studies an innovative pathway that normally functions to regulate the body's responses to infection, and explores the effectiveness of enhancing this pathway to prevent excessive inflammation.","6568147; ","LIU, YUSEN ;","MINNICOZZI, MICHAEL ","11/25/2016","10/31/2021","Accounting; Adherens Junction; Affect; anakinra; Anti-Bacterial Agents; Anti-inflammatory; Anti-Inflammatory Agents; Antibiotic Therapy; Aspartate; Attenuated; Bacteria; Bacterial Antibodies; Bacterial Infections; bactericide; base; Blood Vessels; Bone Marrow; C-terminal; cell type; Cells; Cessation of life; Characteristics; Computers; cytokine; Deterioration; Development; Disease; DUSP1 gene; effective therapy; Effectiveness; Endothelial Cells; Endotoxic Shock; Exhibits; experience; Extravasation; Failure; Health Care Costs; Healthcare; hemodynamics; Hospitalization; Human; Immune; Immune response; Immune system; improved; In Vitro; in vivo; Infection; Inflammation; Inflammatory; Inflammatory Response; innovation; insight; interest; Interleukin-10; knock-down; Knockout Mice; Lead; Lipopolysaccharides; Lung; macrophage; MAPK phosphatase; MAPK14 gene; MAPK8 gene; Marrow; Mediating; Mitogen-Activated Protein Kinase Kinases; Mitogen-Activated Protein Kinases; Modeling; monolayer; mortality; multicatalytic endopeptidase complex; Multiple Organ Failure; Mus; mutant; Mutation; N-terminal; neutrophil; Nosocomial Infections; novel; Organ; Organ failure; Outcome; Palliative Care; Pathway interactions; Patient-Focused Outcomes; Patients; Permeability; Phagocytes; Phase; Phosphoric Monoester Hydrolases; Phosphorylation; Play; prevent; Production; Protein phosphatase; Proteins; Public Health; reconstitution; Regulation; Resources; response; Role; secondary infection; Sepsis; septic; Septic Shock; Serine; Shock; Specific qualifier value; Specificity; Testing; Therapeutic; TNF gene; Translating; Ubiquitination; Umbilical vein; United States; Vascular Permeabilities; Vasodilation; Work; ","Regulation and Function of Mkp-1 During Sepsis.","124029","SAT","Surgery, Anesthesiology and Trauma Study Section ","","A1","01","250000","126042","376042",""
"9309439","R01","GM","3","N","11/23/2016","01/01/2016","12/31/2016","859","R01GM078240","SCHOOLS OF ARTS AND SCIENCES","PA-16-288","3R01GM078240-07S1","NIGMS:5503\","Non-SBIR/STTR RPGs","2017","NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES","","BOSTON","UNITED STATES","CHEMISTRY","07","049435266","US","BOSTON UNIVERSITY (CHARLES RIVER CAMPUS)","MA","022151390","PUBLIC HEALTH RELEVANCE: The cornerstone of organic synthesis is the development of novel chemical methodology that addresses key limitations in efficiency and reactivity. These synthetic methodologies are best demonstrated in the synthesis of biologically relevant molecules such as current drugs and compounds of study. The focus of this research is to develop operationally simple, highly effective methods for the construction of building blocks using boron-containing carbon compounds. The majority of top selling drugs are sold as a single enantiomer or isomer. The asymmetric construction of pharmaceuticals becomes increasingly more challenging. As it becomes a greater health concern, so will the need for novel methods and chemical substances that prevent and treat human disease.","6061748; ","SCHAUS, SCOTT EDWARD;","LEES, ROBERT G.","04/01/2007","12/31/2018","Acetals; Acids; Address; Aldehydes; Area; bioactive natural products; Boron; Boronic Acids; Boxing; Breathing; carbanion; Carbon; carbon compound; Carboxylic Acids; Catalysis; catalyst; Chemicals; Chemistry; Collection; Coupling; Cyanides; design; Development; Diels Alder reaction; Drug Compounding; enantiomer; Glycols; Goals; Health; human disease; improved; innovation; insight; interest; Isomerism; Ligands; Methodology; Methods; Modality; Natural Product Drug; Natural Products; novel; organic acid; Organic Synthesis; Pathway interactions; Pharmaceutical Preparations; Pharmacologic Substance; Physical condensation; prevent; Process; programs; Property; quinone methide; Reaction; Reagent; Research; Seminal; United States National Institutes of Health; ","NIH-Administrative Support Supplement for Randolf Escobar.","078240","","","","S1","07","3345","2158","5503",""
"9381030","R00","CA","4","N","11/21/2016","10/01/2016","09/30/2017","396","R00CA188259","SCHOOLS OF MEDICINE","PA-14-042","4R00CA188259-03","NCI:249000\","Non-SBIR/STTR RPGs","2017","NATIONAL CANCER INSTITUTE","","PORTLAND","UNITED STATES","ANATOMY/CELL BIOLOGY","03","096997515","US","OREGON HEALTH & SCIENCE UNIVERSITY","OR","972393098","PUBLIC HEALTH RELEVANCE: Pancreatic cancer is characterized by a prominent stromal reaction, which has been shown to promote tumor initiation, progression, evasion of antitumor immunity, and resistance to chemotherapy. The research proposed here aims to better understand how pancreatic stellate cells, key drivers of the stromal reaction in pancreatic cancer, interact with and influence pancreatic epithelial cells to promote growth-permissive changes in metabolism and gene expression. Careful dissection of pancreatic tumor-stroma crosstalk will shed light on the biology of these tumors and, hopefully, will highlight new therapeutic avenues to combat pancreatic cancer.","10431069; ","SHERMAN, MARA H.;","SATHYAMOORTHY, NEERAJA ","05/01/2015","09/30/2019","Acetyl Coenzyme A; Adenocarcinoma Cell; Allografting; Antioxidants; Biology; Cancer Biology; cancer cell; Cancer Cell Growth; cancer gene expression; cell growth; Cell Line; Cell Survival; cell transformation; cell type; Cells; Cellular Metabolic Process; Cellular Stress; chemotherapy; Chromatin; combat; Cues; Data; Desmoplastic; Development; Disease; Dissection; Drug Delivery Systems; effective therapy; Enzymes; Epithelial; Epithelial Cells; Epithelium; Equilibrium; Event; experience; Faculty; Fatty Acids; Fostering; gemcitabine; Gene Expression; Gene Expression Profiling; Genes; Genetic; genome-wide; Goals; Growth; Health; High-Throughput Nucleotide Sequencing; Histone Acetylation; Homeostasis; human disease; Immunity; improved; Inflammatory; Institution; Light; Link; lipid metabolism; Lipids; Malignant neoplasm of pancreas; Malignant Neoplasms; Mediator of activation protein; Mentorship; Metabolic; Metabolism; Modeling; Molecular; mouse model; Myofibroblast; Nature; neoplastic; neoplastic cell; new therapeutic target; NF-kappa B; novel; novel therapeutic intervention; novel therapeutics; nucleoside analog; Nutrient; Oncogenic; Oxidation-Reduction; Pancreas; pancreatic cancer cells; Pancreatic Ductal Adenocarcinoma; pancreatic neoplasm; paracrine; Paracrine Communication; Pathway interactions; Patient-Focused Outcomes; Patients; Phenotype; Physiology; Positioning Attribute; Prevention; programs; Property; Reaction; Refractory; Regulation; Research; Research Institute; Research Proposals; research study; Resistance; response; Role; Route; Sampling; Series; Signal Pathway; Signal Transduction; stellate cell; Subcutaneous Injections; Survival Rate; Systems Analysis; Testing; Therapeutic Intervention; therapy resistant; Tissues; tumor; Tumor Biology; tumor growth; tumor initiation; tumor metabolism; tumor microenvironment; tumor progression; tumorigenesis; Vitamin D3 Receptor; Work; Wound Healing; ","Regulation of cancer cell metabolism and growth by the pancreatic tumor stroma","188259","NSS","Special Emphasis Panel ","","","03","161688","87312","249000",""
"9386954","R21","AI","7","N","11/21/2016","11/01/2016","06/30/2017","855","R21AI119269","SCHOOLS OF MEDICINE","RFA-AI-14-026","7R21AI119269-03","NIAID:164392\","Non-SBIR/STTR RPGs","2016","NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES","","RICHMOND","UNITED STATES","INTERNAL MEDICINE/MEDICINE","03","105300446","US","VIRGINIA COMMONWEALTH UNIVERSITY","VA","232980568","PUBLIC HEALTH RELEVANCE: Bacteria that cause human infections are increasingly resistant to antibiotics. Alarmingly, physicians are now powerless to treat some infections. Therefore, new medicines that attack different bacterial targets are urgently needed. We propose an innovative drug screen for molecules that block a specific protein that is required for many bacteria to cause disease. This drug target does not exist in people. This screen will take advantage of new advances and state-of-the-art equipment that can rapidly test thousands of compounds. Initial compounds will be modified for better properties and one lead compound will be tested in an animal model. These efforts may lead to promising new treatments for infections resistant to currently available antibiotics.","1899032; ","DONNENBERG, MICHAEL S;","XU, ZUOYU ","07/01/2015","06/30/2017","Acinetobacter; Acinetobacter baumannii; Active Sites; Adherence; analog; Animal Model; Antibiotic Resistance; Antibiotics; antimicrobial; antimicrobial drug; Antimicrobial Resistance; appendage; Aspartic Acid; Bacteria; Bacterial Infections; Binding; Biogenesis; Biological Assay; Characteristics; Chemicals; Chimeric Proteins; Complex; Disease; drug development; drug discovery; Drug Targeting; DsRed; efficacy testing; Energy Transfer; enteropathogenic Escherichia coli; Enzymes; Equipment; Escherichia coli; experience; Fimbriae Proteins; Fluorescence; Fluorescence Anisotropy; Fluorescence Polarization; Formulation; Fostering; Goals; Growth; Health; Human; Immunoblotting; improved; In Vitro; in vitro activity; in vivo; Infection; inhibitor/antagonist; innovation; Killings; Lead; Libraries; Maryland; Medicine; Membrane; Modeling; Molecular Machines; molecular modeling; Molecular Models; mouse model; mutant; Mutation; N-terminal; Neisseria gonorrhoeae; novel; novel therapeutics; Organism; pathogen; Pathogenesis; Peptide Hydrolases; Peptide Signal Sequences; Performance; Pharmaceutical Chemistry; Phase; Physicians; Pilum; Pneumonia; Preclinical Drug Evaluation; Preclinical Testing; prevent; Prevention; Probability; Property; Protease Inhibitor; protein S precursor; Proteins; Pseudomonas aeruginosa; Pseudomonas aeruginosa pneumonia; Quality Control; Recombinant Proteins; Resistance; Resources; screening; Series; small molecule; Specificity; Structure; success; Surface; System; Testing; Therapeutic; therapeutic target; Toxin; Universities; Validation; Virulence; ","Novel antimicrobials targeting type IV pilus and type 2 secretion systems","119269","ZAI1","Special Emphasis Panel ","","","03","107798","56594","164392",""
"9388966","I01","VA","5","N","11/22/2016","10/01/2016","12/31/2016","999","I01RX000511","","RFA-RX-10-010","5I01RX000511-07","VA:1\","Non-SBIR/STTR RPGs","2017","Veterans Affairs","","PITTSBURGH","UNITED STATES","","12","033127569","US","VETERANS HEALTH ADMINISTRATION","PA","152401003","Traumatic brain injury (TBI) is a major cause of disability in the veteran population and it places a considerable burden on the health care system. Additionally, TBI is a risk factor for developing Alzheimer's disease (AD), a devastating neurological disorder of particular relevance to the aging veteran population. This proposal examines the therapeutic potential of memantine, an FDA approved drug used to treat AD patients, to improve chronic recovery of neurological function after severe TBI and reduce post-injury pathological changes that confer risk of developing AD later in life. If therapeutic efficacy of memantine intervention in the rat and hA2 mouse model of brain injury proves successful, this therapy can be rapidly translated to the clinical setting to improve rehabilitation and quality of life of brain injured veterans.","8659956; ","IKONOMOVIC, MILOS D.;","","04/01/2011","12/31/2016","Acute; Address; Aging; Alzheimer's Disease; Alzheimer's disease risk; Amyloid; Amyloid beta-Protein; Amyloid beta-Protein Precursor; Animal Testing; Animals; Area; aspartate receptor; Astrocytes; behavior test; Brain; Brain Injuries; Brain region; Brain-Derived Neurotrophic Factor; Cell Count; cerebrovascular; Cerebrovascular Circulation; Chronic; Clinical; clinical practice; clinically relevant; Coenzyme A; Cognition; Cognitive; Cognitive deficits; cognitive function; Complement; controlled cortical impact; Data; Dementia; density; Development; disability; Dose; Drug usage; effective therapy; Elderly; Encephalitis; Etiology; Experimental Models; FDA approved; functional outcomes; Gliosis; Glutamates; Goals; Healthcare Systems; hemodynamics; Histopathology; Hour; Human; hypoperfusion; Image; Imaging Techniques; Impairment; improved; inhibitor/antagonist; Injection of therapeutic agent; injured; Injury; injury burden; Intervention; Investigation; Lesion; Life; Link; Lipids; Magnetic Resonance Imaging; Measurement; Measures; Medical Research; Memantine; Memory; Microglia; Modeling; Motor; mouse model; Mus; N-Methylaspartate; Namenda; Nerve Degeneration; nervous system disorder; Nervous System Physiology; Neurodegenerative Disorders; Neurologic; Neurological outcome; neurological recovery; neuron loss; neuronal circuitry; neuronal survival; Neurons; neurotoxic; neurotransmission; Nootropic Agents; Outcome; Pathogenesis; Pathology; Patients; Peptides; Perfusion; Pharmaceutical Preparations; Pharmacotherapy; Phase; Physiological; Population; prevent; Prevention; Principal Investigator; Process; Production; programs; protein metabolite; Quality of life; Rattus; Recovery; Recovery of Function; Rehabilitation therapy; repaired; Research; research study; response; Risk; Risk Factors; Rodent; Series; Simvastatin; Spin Labels; Survivors; Synapses; Testing; Therapeutic; Time; Translating; Translations; Traumatic Brain Injury; Traumatic Brain Injury recovery; Treatment Efficacy; Veterans; ","Memantine Therapy for Improved Functional Recovery After TBI","000511","RRD1","Brain Injury: TBI & Stroke  ","","","07","","","",""
"9388967","I21","VA","5","N","11/22/2016","11/01/2016","01/31/2017","999","I21RX001749","","RFA-RX-14-009","5I21RX001749-03","VA:1\","RESEARCH CENTERS","2017","Veterans Affairs","","DURHAM","UNITED STATES","","04","043241082","US","DURHAM VA MEDICAL CENTER","NC","277053875","PUBLIC HEALTH RELEVANCE:     Project Narrative This research will enhance our understanding of the development of aberrant reflexes following spinal cord injury and will simultaneously provide information regarding the potential to harness such reflexes for improving the quality of life for patients with spinal cord injury. If we can demonstrate that sacral neuromodulation might facilitate hind limb reflex activation of the spinal locomotor central pattern generator in a manner similar to high intravesical pressures, then we can simultaneously bypass these high pressures using sacral neurostimulation and treat the high intravesical pressures, thereby potentially facilitating assisted walking while treating lower urinary tract dysfunction.","1907638; ","FRASER, MATTHEW O;","","11/01/2014","01/31/2017","Address; Adrenergic Agonists; Affect; afferent nerve; Animals; Anogenital region; base; Behavior; Bilateral; Bladder; Bypass; Caring; central pattern generator; Cervical; Chronic; Development; Distal; Dose; Electrodes; Evaluation; Event; Functional disorder; Goals; Health; improved; Injury; intravesical; Limb structure; Lower urinary tract; Methods; Modeling; Morbidity - disease rate; mortality; Motor Activity; Motor Neurons; neuroregulation; novel; Organ; Paraplegia; Pathway interactions; Patients; Pattern; Pelvis; pressure; quadriceps muscle; Quality of life; Rattus; Reflex action; Research; response; Response to stimulus physiology; Spinal; Spinal cord injured survivor; Spinal cord injury; Spinal cord injury patients; Spinal Cord Lesions; spinal shock; Stimulus; targeted treatment; Training; urinary bladder hyperreflexia; Video Recording; Visceral; Visceral Afferents; Walking; ","Using aberrant pelvic reflexes to facilitate walking following spinal cord injury","001749","RRDS","Rehabilitation Research and Development SPiRE Program ","","","03","","","",""
